MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
BOYACÁ,115104000128,INSTITUCIÓN EDUCATIVA DE BOYACA,215104000033,SOCONZAQUE ORIENTE,SOCONZAQUE ORIENTE
BOYACÁ,115104000128,INSTITUCIÓN EDUCATIVA DE BOYACA,215104000068,RIQUE,HUERTA CHICA
BOYACÁ,215104000092,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA SAN ISIDRO,215104000092,INSTITUCIÓN  EDUCATIVA TECNICA AGROPECUARIA SAN ISIDRO - SEDE PRINCIPAL,HUERTA GRANDE
BOYACÁ,215104000092,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA SAN ISIDRO,215104000084,HUERTAS NUMERO 2,HUERTA GRANDE
BOYACÁ,215104000092,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA SAN ISIDRO,215104000041,SOCONZAQUE OCCIDENTE,SOCONZAQUE OCCIDENTE
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000103,MORAY BAJO,MORAY
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000154,JORGE ARMANDO QUIROGA,YOPOS
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000111,DIAMANTE,DIAMENTE
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000081,PALO BLANCO,PALO BLANCO
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000138,BUENAVISTA ALTO,SANTA ISABEL
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000022,MINACHAL,MINACHAL
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000162,TARPEYA,TARPEYA
